member_id	nr_purch	nr_purch_offer	amount_sum	amount_median	amount_std	compl_offers	used_bogo	used_disc	used_info	mean_hrs_compl	nr_NUO	nr_dist_NUO	sum_viewed_NUO	nr_bogo_NUO	nr_disc_NUO	nr_info_NUO	days_reg
0009655768c64bdeb2e877511632db8f	8.0	2.0	127.6	13.835	6.572805445817747	2	0.0	0.0	2.0	39.0	2.0	2.0	2.0	1.0	1.0	0.0	462
00116118485d4dfda04fdbaba9a87b5c	3.0	0.0	4.09	0.7000000000000001	1.6015721442799051	0	0.0	0.0	0.0		2.0	1.0	2.0	2.0	0.0	0.0	93
0011e0d4e6b944f998e987f904e8c1e5	6.0	3.0	101.51	17.77	6.164292065328075	3	1.0	2.0	0.0	90.0	2.0	2.0	2.0	0.0	0.0	2.0	199
0020c2b971eb4e9188eac86d93036a77	8.0	2.0	196.85999999999999	24.35	6.331932113163746	2	1.0	1.0	0.0	63.0							875
0020ccbbb6d84e358d3414a3ff76cffd	9.0	4.0	154.05	12.754999999999999	4.284116807252321	4	2.0	1.0	4.0	30.0							623
003d66b6608740288d6cc97a6903f4f0	17.0	11.0	52.480000000000004	2.27	1.899676980851994	4	0.0	9.0	5.0	72.54545454545455							401
00426fe3ffde4c6b9cb9ad6d077a13ea	13.0	4.0	68.50999999999999	3.08	3.876235286976269	2	0.0	3.0	5.0	54.0							717
004b041fbfe44859945daa2c7f79ee64	6.0	2.0	138.36	22.705	3.4095923510003363	2	1.0	1.0	0.0	81.0							80
004c5799adbf42868b9cff0396190900	12.0	2.0	347.38	26.95	6.728527913205672	2	1.0	1.0	0.0	45.0	2.0	2.0	2.0	1.0	1.0	0.0	848
005500a7188546ff8a767329a2f7c76a	4.0	0.0	20.36	4.855	3.060904005899782	0	0.0	0.0	0.0		3.0	1.0	3.0	3.0	0.0	0.0	230
0056df74b63b4298809f0b375a304cf4	4.0	2.0	144.14	29.03	1.063682283391051	2	1.0	0.0	2.0	69.0	1.0	1.0	1.0	0.0	1.0	0.0	705
0063def0f9c14bc4805322a488839b32	3.0	0.0	7.21	2.39	0.35019042438840803	0	0.0	0.0	0.0		5.0	5.0	5.0	2.0	2.0	1.0	42
0069a50874d846438e58acff5e594725	5.0	0.0	33.5	5.12	5.939642245118808	0	0.0	0.0	0.0		1.0	1.0	1.0	0.0	1.0	0.0	815
00715b6e55c3431cb56ff7307eb19675	15.0	0.0	375.12	24.42	8.04376795147292	0	0.0	0.0	0.0		3.0	3.0	3.0	1.0	2.0	0.0	232
0082fd87c18f45f2be70dbcbb0fb8aad	7.0	3.0	121.85	19.24	5.225934411776565	3	1.0	0.0	2.0	52.0							322
00840a2ca5d2408e982d56544dc14ffd	17.0	5.0	62.93	3.09	2.3477708451159516	2	0.0	5.0	0.0	34.8							1314
00857b24b13f4fe0ad17b605f00357f5	4.0	0.0	6.26	1.375	0.9665919511355348	0	0.0	0.0	0.0		3.0	3.0	3.0	3.0	0.0	0.0	277
008d7088107b468893889da0ede0df5c	7.0	0.0	16.18	2.64	1.2755447015743062	0	0.0	0.0	0.0		5.0	4.0	5.0	3.0	0.0	2.0	320
0091d2b6a5ea4defaa8393e4e816db60	12.0	4.0	279.16	22.23	8.522305848166738	4	3.0	1.0	0.0	19.5	1.0	1.0	1.0	1.0	0.0	0.0	770
0092a132ead946ceb30d11a1ed513d20	3.0	1.0	2.54	0.74	0.43003875794320373	1	0.0	0.0	1.0	48.0	5.0	5.0	5.0	3.0	2.0	0.0	86
0099bf30e4cb4265875266eb3eb25eab	9.0	4.0	105.83	5.07	21.493866825471656	1	0.0	4.0	0.0	234.0	3.0	2.0	3.0	1.0	2.0	0.0	163
009d10c2c38a4fd795a7bc6ddbbddb78	7.0	0.0	11.78	1.06	1.3646698536729713	0	0.0	0.0	0.0		5.0	4.0	5.0	1.0	4.0	0.0	30
00a794f62b9a48beb58f8f6c02c2f1a6	7.0	4.0	166.4	15.47	7.041157704396473	4	1.0	0.0	7.0	22.5	1.0	1.0	1.0	1.0	0.0	0.0	1007
00ad4c2cace94f67a6354ec90d6c6f45	8.0	2.0	20.73	1.88	2.0287747005802013	2	0.0	0.0	2.0	18.0	3.0	3.0	3.0	2.0	1.0	0.0	708
00ae03011f9f49b8a4b3e6d416678b0b	9.0	3.0	248.88	30.83	9.59852723077869	3	1.0	2.0	0.0	54.0	3.0	3.0	3.0	1.0	1.0	1.0	985
00aee28bbb3848dd8a31f0c91dc267dd	5.0	0.0	20.53	2.46	2.935758845681981	0	0.0	0.0	0.0		2.0	2.0	2.0	2.0	0.0	0.0	202
00b18b535d6d4f779dea4dc9ac451478	5.0	3.0	133.25	25.28	4.347717792129566	3	0.0	3.0	0.0	110.0	1.0	1.0	1.0	1.0	0.0	0.0	476
00b3400e4ff64ee68ce9ada1d0c222f0	10.0	2.0	163.92000000000002	15.585	4.855228109986182	2	0.0	1.0	1.0	9.0							701
00b3c376db2a4115af3aef34a02f61d6	8.0	1.0	219.63	28.055	4.259630894472297	1	1.0	0.0	0.0	48.0	1.0	1.0	1.0	1.0	0.0	0.0	395
00b5fb9d842d437e83033ad9e36f7148	3.0	0.0	7.74	2.98	1.510264877430446	0	0.0	0.0	0.0		3.0	3.0	3.0	1.0	2.0	0.0	181
00b901d68f8f4fd68075184cd0f772d2	4.0	0.0	53.550000000000004	11.850000000000001	4.651203249339538	0	0.0	0.0	0.0		4.0	3.0	4.0	3.0	1.0	0.0	35
00bbce6533f44ddeaf4dd32bcab55441	7.0	3.0	77.21	11.28	4.393290338686939	3	1.0	1.0	1.0	46.0	1.0	1.0	1.0	0.0	1.0	0.0	1337
00bc42a62f884b41a13cc595856cf7c3	8.0	4.0	150.64	18.435000000000002	4.259295716430123	4	1.0	3.0	0.0	36.0							928
00bc983061d3471e8c8e74d31b7c8b6f	3.0	1.0	63.5	21.4	6.942941259533551	1	1.0	0.0	0.0	18.0	1.0	1.0	1.0	0.0	1.0	0.0	284
00c20a9202d5475190b31a24de6fb06d	9.0	4.0	180.73	19.16	4.2914200576395585	3	2.0	2.0	0.0	31.5	1.0	1.0	1.0	0.0	1.0	0.0	873
00c2f812f4604c8893152a5c6572030e	5.0	0.0	124.09	24.21	11.470011769828313	0	0.0	0.0	0.0		4.0	2.0	4.0	3.0	1.0	0.0	27
00c32a104f0c4065b5b552895fb22e34	2.0	0.0	6.9799999999999995	3.4899999999999998	3.4506810921903517	0	0.0	0.0	0.0		2.0	2.0	2.0	1.0	1.0	0.0	217
00c5a385c71a4d3db5e9b4e31e430943	2.0	1.0	2.59	1.295	0.3747665940288703	1	0.0	0.0	1.0	12.0	3.0	3.0	3.0	2.0	1.0	0.0	297
00c6035df45840038a72766c6d27a0db	10.0	4.0	241.55	23.07	8.68784720692699	4	1.0	2.0	2.0	13.5							517
00c91f31f5f74e769fa7a359b63e1a9f	11.0	4.0	134.74	8.545	3.935185880246054	3	0.0	3.0	4.0	48.0	1.0	1.0	1.0	0.0	1.0	0.0	619
00ceaf16a40341e6996d543d04daa2c2	9.0	0.0	26.98	4.03	2.353666170986116	0	0.0	0.0	0.0		4.0	4.0	4.0	3.0	1.0	0.0	69
00cf1bbec83f4a658f8994e556db4633	4.0	2.0	97.55000000000001	25.235	10.36102110476247	2	0.0	2.0	0.0	87.0	1.0	1.0	1.0	0.0	1.0	0.0	73
00cf471ed1aa42a8bdde5561d67da2b1	8.0	0.0	26.18	2.06	2.782243442157528	0	0.0	0.0	0.0		3.0	2.0	3.0	2.0	1.0	0.0	180
00d6dc87be4146ceb47fcd4baaaf6477	12.0	4.0	334.64	24.845	7.825417018610032	4	3.0	1.0	0.0	7.5							228
00d791e20c564add8056498e40eb56cc	19.0	8.0	59.62	1.76	3.0292749021421836	3	5.0	3.0	0.0	72.75	1.0	1.0	1.0	1.0	0.0	0.0	946
00d7c95f793a4212af44e632fdc1e431	7.0	3.0	162.42000000000002	20.69	4.584567279783027	3	2.0	1.0	0.0	30.0							575
00d91c5919514448bc4f718e4e3f26ab	2.0	1.0	44.599999999999994	22.299999999999997	4.355777772109134	1	1.0	0.0	0.0	126.0	4.0	4.0	4.0	1.0	2.0	1.0	183
00e20b4ca129458aaab0f4727ef3513a	20.0	1.0	191.54999999999998	2.95	27.356826507819715	1	0.0	1.0	0.0	24.0	2.0	2.0	2.0	1.0	1.0	0.0	1324
00e52682848542c3a6f59b7824e9a5c5	3.0	3.0	46.14	11.535	4.867062769268545	2	0.0	2.0	2.0	70.0	2.0	2.0	2.0	1.0	1.0	0.0	647
00e8d701c583461e81cc10053681a12b	7.0	1.0	30.98	2.98	3.0610121264208083	1	0.0	1.0	0.0	48.0	2.0	2.0	2.0	1.0	0.0	1.0	151
00e9f403afa641889cd034ee7c7ca6e9	19.0	5.0	639.7900000000001	12.1	98.30245023806386	3	0.0	4.0	1.0	31.2	1.0	1.0	1.0	0.0	1.0	0.0	831
00ed7e22b32749cfafbfd88592d401d4	11.0	2.0	236.96	21.86	5.360244058215667	2	1.0	1.0	0.0	15.0							726
00ee2ca6421c4af0aeca60a1b3e00f6c	1.0	0.0	4.03	4.03		0	0.0	0.0	0.0		4.0	4.0	4.0	1.0	2.0	1.0	345
00ee69db83964d6da32f8109b32a1ce7	5.0	1.0	15.79	2.51	1.7915970529111729	1	0.0	0.0	1.0	0.0	3.0	2.0	3.0	3.0	0.0	0.0	194
00fac72fd6ad448e8019b175267023df	10.0	2.0	186.23000000000002	17.685000000000002	4.763658841222318	2	1.0	1.0	0.0	27.0	2.0	2.0	2.0	1.0	1.0	0.0	468
00fbb9b5edb94f02afbaf1eb49bb4d7d	3.0	1.0	80.1	31.96	10.087155198568126	1	0.0	0.0	1.0	24.0	2.0	2.0	2.0	2.0	0.0	0.0	154
00fdd4416dec40b49180814c0a7c8d76	3.0	2.0	76.65	25.14	5.416650256385397	2	0.0	1.0	1.0	6.0							619
0100dbd4e8554aa69b73b6ac0547f6bf	3.0	0.0	6.55	2.14	0.8058742664543479	0	0.0	0.0	0.0		2.0	2.0	2.0	2.0	0.0	0.0	211
0103de989e084e0fab400e80678d7591	11.0	2.0	144.97	14.25	6.449419283230785	2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	732
0106d19a26af41288035afc4b9b6c2c2	10.0	2.0	21.24	1.125	2.0959018212799094	2	1.0	0.0	1.0	54.0							815
01162252405b4524a8fa1bf8e6d5f04b	16.0	4.0	129.85999999999999	7.725	3.1118033776956264	3	0.0	3.0	3.0	19.5	1.0	1.0	1.0	1.0	0.0	0.0	486
01176ee7289b48e39ee6261d5c071a07	5.0	0.0	20.200000000000003	3.17	3.9974241706378875	0	0.0	0.0	0.0		3.0	2.0	3.0	0.0	3.0	0.0	87
0118fbb66dd2443a9dd407d2c99a7672	3.0	0.0	64.04	18.94	5.435479126381899	0	0.0	0.0	0.0		3.0	3.0	3.0	0.0	2.0	1.0	340
0121fe001b7a404fa9cbe486f8944baf	6.0	1.0	191.68	30.604999999999997	8.709300010142417	1	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	106
0123564dbaf144a88a418c33b6350c17	5.0	2.0	176.74	30.564999999999998	4.081694092734862	2	0.0	1.0	2.0	33.0	1.0	1.0	1.0	1.0	0.0	0.0	313
012ee55a90bd4d969b0d0cdfaffdf6ab	11.0	2.0	9.98	0.89	0.5340616239553431	2	0.0	0.0	2.0	12.0	4.0	2.0	4.0	3.0	1.0	0.0	228
013094309e1b49e095c098df412d125d	20.0	7.0	69.18	2.385	3.627085099055366	3	2.0	5.0	0.0	63.42857142857143	2.0	2.0	2.0	2.0	0.0	0.0	1372
01380da907f8495496679c795867790b	6.0	4.0	154.99	20.505000000000003	5.864091544549517	3	3.0	0.0	3.0	37.5							400
013f2c82889f4641a9b847a48861cce0	9.0	4.0	186.54000000000002	21.55	6.409584619926631	4	2.0	1.0	1.0	31.5							340
0141d3870a424c03a20390040efad826	4.0	0.0	6.32	1.09	1.4808105888330216	0	0.0	0.0	0.0		3.0	2.0	3.0	1.0	2.0	0.0	148
01443a2afce54939a323c978f467c540	16.0	4.0	417.93	24.82	7.315828017615869	4	3.0	1.0	0.0	9.0	1.0	1.0	1.0	0.0	1.0	0.0	1021
014899c751254a62a96ce676eb11ddc2	9.0	4.0	287.11	28.185000000000002	6.885762202625872	4	0.0	2.0	3.0	22.5	1.0	1.0	1.0	0.0	0.0	1.0	855
0155a21497d54684a55c3bc609843768	10.0	0.0	7.94	0.595	0.6144410287226739	0	0.0	0.0	0.0		4.0	4.0	4.0	1.0	3.0	0.0	843
0157e63b39c5456393026c6c03f3d84a	10.0	2.0	199.65	20.275	5.731841375644964	2	1.0	1.0	0.0	36.0	1.0	1.0	1.0	1.0	0.0	0.0	260
015c3d28c67e46aa95e9ec97c27220e8	12.0	5.0	277.77	23.490000000000002	4.5055483472149	5	1.0	4.0	0.0	31.2							857
015ef929e016415098eeae8ce59da721	3.0	2.0	18.28	5.46	1.4201877810111356	1	0.0	2.0	0.0	78.0							555
015fb0b3fbaa4aceb910fbdf272f7547	6.0	0.0	14.290000000000001	2.12	1.537783036278742	0	0.0	0.0	0.0		4.0	3.0	4.0	4.0	0.0	0.0	17
016086228d58476599d0b47881c25509	5.0	1.0	83.2	13.17	8.712640242773713	1	0.0	1.0	0.0	54.0	2.0	2.0	2.0	1.0	1.0	0.0	286
01613170f679422a8acfa96f0f19fdf2	5.0	0.0	10.33	1.46	1.3917542886587417	0	0.0	0.0	0.0		2.0	2.0	2.0	2.0	0.0	0.0	132
01633b71b3a2457aa7d35d8bcc3afb5a	10.0	5.0	208.64000000000001	23.525	5.478741136834669	4	3.0	2.0	0.0	43.2							1059
016871ea865d4338975026ae08d221d0	3.0	1.0	45.79	14.53	3.4686356587761313	1	0.0	0.0	1.0	36.0	1.0	1.0	1.0	0.0	0.0	1.0	56
016b37032984457fb33ba2767fcc8c9f	12.0	2.0	55.18	3.38	3.127349098030532	2	0.0	0.0	5.0	6.0							1531
016edb1d1d67477391c5337545a5d98a	7.0	3.0	131.05	14.94	4.260174422615947	3	0.0	1.0	4.0	72.0	2.0	2.0	2.0	0.0	1.0	1.0	941
017160c1cdb845d48abec3c330b4427e	9.0	1.0	198.09	22.29	3.3211142708434473	1	1.0	0.0	0.0	30.0							956
01772eae932447f9a853461a60820dc6	8.0	0.0	58.28	7.75	2.634588609794163	0	0.0	0.0	0.0		3.0	2.0	3.0	3.0	0.0	0.0	379
01784d3e205548a594ba3fcdbdaaf17d	14.0	5.0	176.5	11.825	6.623872244879389	3	4.0	0.0	1.0	48.0							937
017a93d1204f457bbe85f5e7de062b56	13.0	2.0	110.52	7.69	4.813427133470576	2	1.0	1.0	0.0	9.0	3.0	2.0	3.0	0.0	1.0	2.0	263
017febbe52e64ac19cf28cf0d44386e4	10.0	4.0	1034.43	31.1	205.47234088580126	4	2.0	1.0	2.0	31.5	1.0	1.0	1.0	0.0	0.0	1.0	1063
01873cc8de734961949af7c04b2e9872	18.0	3.0	50.55	1.745	2.2466583027714213	1	0.0	3.0	0.0	48.0	3.0	3.0	3.0	2.0	1.0	0.0	186
01887dcd32b64feb807e2436548b6c87	3.0	2.0	64.33	20.1	3.1478617081017584	2	0.0	1.0	1.0	96.0	4.0	3.0	4.0	2.0	0.0	2.0	286
018a49ffb8cf4812903e7c1f56fbb0b0	12.0	4.0	98.65	6.3	4.16082292772685	4	3.0	0.0	2.0	24.0	1.0	1.0	1.0	1.0	0.0	0.0	602
018b8f83176d471db63d9733c741fc8a	2.0	2.0	37.04	18.52	0.07071067811865576	2	2.0	0.0	0.0	66.0							86
01925607d99c460996c281f17cdbb9e2	2.0	2.0	54.620000000000005	27.310000000000002	2.5880108191427653	2	2.0	0.0	0.0	30.0							981
0193c118afe84208b33ffeb1dcb277d8	2.0	0.0	6.05	3.025	1.1525840533340723	0	0.0	0.0	0.0		4.0	3.0	4.0	0.0	3.0	1.0	91
01956670cf414b309675aa73368b94a9	10.0	3.0	248.65	23.355	3.785666681341904	3	1.0	2.0	0.0	44.0	1.0	1.0	1.0	1.0	0.0	0.0	701
0196d2062b8d4d019b8d96292266e8a4	4.0	0.0	61.12	13.455000000000002	9.330912781359244	0	0.0	0.0	0.0		3.0	3.0	3.0	0.0	2.0	1.0	127
0199681637524988a14245632b8376af	10.0	3.0	222.96	25.365000000000002	6.041887490217312	3	3.0	0.0	0.0	26.0							239
019be0c6f8fd4000b1967c7308b4bdf4	21.0	3.0	141.2	6.31	3.128108815547305	2	0.0	3.0	0.0	12.0	2.0	2.0	2.0	2.0	0.0	0.0	992
019cc78d8fed432ca6df71c132c72a99	7.0	0.0	16.48	2.54	0.9605702671305406	0	0.0	0.0	0.0		2.0	2.0	2.0	1.0	1.0	0.0	17
019ed95d987446e3947da0246cdab831	8.0	1.0	515.0899999999999	25.355	112.42383668669711	1	1.0	0.0	0.0	54.0							377
01a202a9021e40aeaa5451a5d134c16c	6.0	2.0	156.05	24.645	7.040021070044228	2	0.0	1.0	1.0	63.0							623
01a5e8b57bc04e0292525f3e2817fa17	3.0	1.0	57.1	17.76	6.169354369245888	1	0.0	1.0	0.0	72.0	2.0	1.0	2.0	2.0	0.0	0.0	318
01ab25c31f034f85bc4ac9d286fb7a76	5.0	4.0	644.29	17.93	248.36014750760637	4	3.0	1.0	0.0	67.5							10
01ac633821f0498893320b41b5b22dfc	12.0	2.0	251.46	22.314999999999998	5.457644346985412	2	1.0	1.0	0.0	6.0	2.0	1.0	2.0	2.0	0.0	0.0	1001
01b6d7e8f0884deb936a8a7f15dba895	13.0	2.0	175.68	12.78	6.134250210174479	2	0.0	2.0	0.0	93.0	3.0	3.0	3.0	1.0	2.0	0.0	1807
01d26f638c274aa0b965d24cefe3183f	7.0	1.0	39.74	5.045	2.479094016542564	1	0.0	0.0	2.0	0.0							547
01de69b5edab4b89859ea8a7214ba35a	7.0	2.0	765.88	21.5	232.78862303447244	2	0.0	2.0	0.0	66.0	1.0	1.0	1.0	0.0	0.0	1.0	460
01e09d713abe4a36a70a33fe4b40534e	4.0	1.0	86.25999999999999	22.235	6.08209667795572	1	1.0	0.0	0.0	6.0							1068
01e57718fc6b49b2875a9c02b32905b1	15.0	0.0	101.19	5.31	5.737229047445913	0	0.0	0.0	0.0		3.0	3.0	3.0	2.0	1.0	0.0	593
01e8739670a042b3877f8e843bdf55a7	8.0	2.0	181.16	23.1	5.673399081931144	2	0.0	2.0	0.0	27.0	1.0	1.0	1.0	0.0	0.0	1.0	1007
01e91c5bc14148b2a4de0ce819e4c500	9.0	1.0	13.08	0.6900000000000001	2.2810523887013203	1	1.0	0.0	0.0	12.0	3.0	3.0	3.0	0.0	3.0	0.0	459
01e97a4633bf4963838a4aa9ed1dce3e	8.0	0.0	17.96	1.885	1.7180221186003397	0	0.0	0.0	0.0		4.0	4.0	4.0	3.0	1.0	0.0	327
01ef4c6618b64334a15914ff9963eaac	5.0	1.0	135.57999999999998	29.8	7.754026695852936	1	0.0	1.0	0.0	48.0							260
01f33ff554d0443a9841adfd66d253f6	3.0	1.0	53.92	16.81	2.5890603185969496	1	0.0	1.0	0.0	42.0	1.0	1.0	1.0	0.0	0.0	1.0	219
01f46a5191424005af436cdf48a5da7c	8.0	2.0	166.59	19.965	4.883218895944997	2	2.0	0.0	0.0	27.0							1041
01f663b988964a4caca8b19abecb551d	5.0	2.0	97.64	18.77	6.428208926287322	2	0.0	1.0	1.0	15.0	1.0	1.0	1.0	0.0	0.0	1.0	422
01fe5ec668f241608eb2f7ec374cb1b7	9.0	1.0	161.89	18.085	5.466887089052091	1	0.0	0.0	2.0	12.0							359
01ff6c5d8d014dbd8c120e2b43a065ea	10.0	4.0	146.18	15.41	5.379082532262252	4	3.0	0.0	1.0	13.5	1.0	1.0	1.0	1.0	0.0	0.0	481
0200f61c69da4c2ea078842cdaf234e6	9.0	4.0	195.01	22.09	4.8964777590064115	4	1.0	3.0	0.0	58.5	1.0	1.0	1.0	0.0	1.0	0.0	594
020354b1aea342cbaa018993f68fba68	2.0	2.0	7.67	3.835	4.164858941188765	1	0.0	2.0	0.0	138.0	4.0	2.0	4.0	0.0	4.0	0.0	320
0206e1388c34454caba2b7fce3123943	4.0	2.0	71.95	18.195	2.834682521906112	2	2.0	0.0	0.0	39.0	2.0	1.0	2.0	0.0	0.0	2.0	418
020be6e9805649858595dfbaab15ccd7	16.0	4.0	44.69	1.37	2.433109721460721	1	0.0	4.0	0.0	66.0	2.0	2.0	2.0	2.0	0.0	0.0	932
020be8b0fafa446ebcce6449b20bc92c	10.0	1.0	34.879999999999995	3.66	1.671050295744892	1	0.0	0.0	2.0	24.0							1135
020c2d7b3d1b4d24b9502626b2d7ef46	4.0	1.0	20.94	3.545	1.5036355941517214	1	0.0	0.0	3.0	30.0	2.0	2.0	2.0	2.0	0.0	0.0	884
020cd0f8047142e18a754303f9337d53	13.0	2.0	232.9	18.82	2.3513670328293967	2	1.0	0.0	1.0	33.0	3.0	3.0	3.0	1.0	2.0	0.0	75
020d3a52b9ce432ea5f98fc58e9bfcc4	6.0	1.0	16.93	3.4000000000000004	1.818014484724109	1	0.0	0.0	1.0	72.0	2.0	2.0	2.0	0.0	2.0	0.0	287
020d72e77c704c42bb0a858c1aaa3bcd	17.0	6.0	262.02	12.97	4.58534801015899	5	2.0	2.0	4.0	23.0							396
0215efe5136d4a038cb81eae92d59368	15.0	6.0	795.28	14.87	143.28972248393745	5	1.0	4.0	1.0	75.0							984
021616b8deea46438e3badc7fca5894d	12.0	2.0	218.51	19.634999999999998	4.999635365492046	2	1.0	1.0	0.0	72.0	1.0	1.0	1.0	0.0	1.0	0.0	586
0217c4393fd54e74a523b63c0fcc3da5	13.0	1.0	230.21	17.66	5.696808823300179	1	1.0	0.0	0.0	18.0	1.0	1.0	1.0	1.0	0.0	0.0	859
0218964095c94da0bfac44cf40c9343f	9.0	2.0	223.70000000000002	22.14	10.450717811604033	2	0.0	1.0	1.0	27.0							1264
021adce38ab34ede96422ae107643fd5	13.0	5.0	262.9	15.64	6.542821220529377	5	0.0	3.0	4.0	22.8	1.0	1.0	1.0	0.0	1.0	0.0	478
021c1940868647efbcb40ccdb942813b	7.0	4.0	120.80000000000001	15.49	3.6350090063424156	4	3.0	1.0	0.0	79.5	2.0	2.0	2.0	1.0	1.0	0.0	1252
0222d267445f4f078bc325224e471766	10.0	5.0	23.169999999999998	2.38	1.1138726238768157	1	0.0	5.0	0.0	180.0	1.0	1.0	1.0	1.0	0.0	0.0	206
0223ed57fef54575ac0b256937dc68fa	9.0	0.0	14.8	1.62	1.1842519908270275	0	0.0	0.0	0.0		4.0	3.0	4.0	0.0	3.0	1.0	398
0225045e245f4b7289cc55c0b5870ae2	4.0	1.0	59.09	14.705	4.946044716066901	1	0.0	1.0	0.0	108.0	2.0	2.0	2.0	1.0	0.0	1.0	318
022f5553a0704b53ba26f2d23cb1234d	23.0	3.0	371.91	15.5	4.437692889533725	3	1.0	2.0	0.0	4.0							495
0231c913a51e420783be6bdeb75aa842	8.0	5.0	34.01	4.4	3.281260374133261	4	1.0	3.0	1.0	69.6	1.0	1.0	1.0	1.0	0.0	0.0	188
023411b8a45a4715979dae6cec425a8b	8.0	5.0	21.57	2.0549999999999997	1.1552686075348695	3	0.0	3.0	4.0	82.8	2.0	2.0	2.0	1.0	0.0	1.0	65
023a42cf62f742b795a975d56955e220	18.0	6.0	50.09	2.81	2.092327174830922	2	0.0	6.0	0.0	62.0	2.0	2.0	2.0	0.0	1.0	1.0	334
023fd15e56184ec19e23ed5a31c87543	7.0	0.0	28.0	4.52	2.654436537823674	0	0.0	0.0	0.0		2.0	1.0	2.0	2.0	0.0	0.0	292
024218e67fa549a4a0a99b32b7b6fbf9	11.0	2.0	193.38	19.38	5.0068892538181835	2	0.0	2.0	0.0	51.0	2.0	2.0	2.0	2.0	0.0	0.0	141
0246e7cc7a3d4a98a940cb13776b5b55	17.0	10.0	56.17	2.67	1.5715746191720361	3	0.0	9.0	3.0	68.4	1.0	1.0	1.0	0.0	0.0	1.0	1300
0246f8fdf0b64014a98822b70231c58d	5.0	2.0	108.04	20.52	3.7180734258483925	2	2.0	0.0	0.0	54.0	1.0	1.0	1.0	0.0	1.0	0.0	117
0247953d899b4a99acab74fa0a807c0f	10.0	0.0	22.650000000000002	1.9200000000000002	1.2813816328045633	0	0.0	0.0	0.0		3.0	2.0	3.0	3.0	0.0	0.0	192
0251876076024444864473545adce065	14.0	1.0	27.9	1.71	1.388438129539966	1	1.0	0.0	0.0	42.0	2.0	1.0	2.0	0.0	2.0	0.0	897
0252aa6f0dee4585ba886945c60f48f5	1.0	0.0	10.36	10.36		0	0.0	0.0	0.0		5.0	5.0	5.0	1.0	3.0	1.0	182
02557fafcf334c30a22c312c5647f71a	6.0	0.0	17.18	1.645	3.3993685688178426	0	0.0	0.0	0.0		2.0	2.0	2.0	1.0	1.0	0.0	102
026876bc8c6a4e0c8e330342c92cc844	1.0	0.0	26.38	26.38		0	0.0	0.0	0.0		4.0	4.0	4.0	3.0	1.0	0.0	241
027561a162a54d86b6d45af5071c4d27	2.0	2.0	9.34	1.5899999999999999	3.1269207430527133	2	1.0	0.0	2.0	87.0	4.0	3.0	4.0	2.0	1.0	1.0	248
027596e6ed19471392923eb833b25fd3	6.0	4.0	14.86	1.815	1.819182966792144	1	0.0	4.0	0.0	198.0	1.0	1.0	1.0	1.0	0.0	0.0	332
02765747959045a0a7c452888b2f31eb	5.0	0.0	49.29	8.8	4.217424569568495	0	0.0	0.0	0.0		2.0	2.0	2.0	1.0	1.0	0.0	28
0276c9a3092d4f79a29d61a1462f9b4d	12.0	3.0	204.49	15.915000000000001	4.718126473955783	3	0.0	3.0	0.0	8.0	1.0	1.0	1.0	0.0	1.0	0.0	427
027c18923c0146e58ccd615f6a62d82f	11.0	4.0	24.55	2.17	1.2981742424021376	1	0.0	4.0	0.0	54.0							1281
02865fee714e466e99f9bb7a7203887b	5.0	0.0	18.95	2.34	3.7584770852035265	0	0.0	0.0	0.0		2.0	2.0	2.0	1.0	0.0	1.0	356
028a12f0ee584455850300886174f3d7	3.0	2.0	72.4	25.98	7.678393929288426	2	0.0	1.0	1.0	24.0	1.0	1.0	1.0	0.0	0.0	1.0	816
